Species X, Species Y, Species Z
0.469128512,0.552719487,0.305371604
0.469803514,0.550078477,0.302459151
0.470505435,0.547453447,0.299578157
0.471234172,0.544844421,0.296728396
0.471989623,0.542251422,0.293909641
0.472771691,0.539674467,0.291121662
0.473580285,0.537113575,0.28836423
0.474415315,0.53456876,0.285637114
0.475276696,0.532040037,0.282940082
0.476164349,0.529527415,0.280272903
0.477078196,0.527030906,0.277635343
0.478018164,0.524550516,0.275027169
0.478984183,0.522086251,0.272448147
0.479976187,0.519638115,0.269898042
0.480994115,0.517206112,0.26737662
0.482037907,0.514790242,0.264883646
0.483107508,0.512390505,0.262418887
0.484202866,0.510006899,0.259982107
0.485323933,0.50763942,0.257573072
0.486470663,0.505288063,0.255191548
0.487643014,0.502952824,0.252837301
0.488840947,0.500633693,0.250510098
0.490064427,0.498330663,0.248209705
0.491313421,0.496043723,0.245935891
0.492587899,0.493772864,0.243688424
0.493887835,0.491518072,0.241467071
0.495213205,0.489279334,0.239271604
0.496563988,0.487056637,0.237101792
0.497940167,0.484849965,0.234957406
0.499341726,0.482659302,0.232838219
0.500768652,0.480484631,0.230744003
0.502220937,0.478325935,0.228674534
0.503698573,0.476183194,0.226629585
0.505201555,0.474056389,0.224608933
0.506729883,0.471945501,0.222612355
0.508283556,0.469850507,0.22063963
0.509862579,0.467771387,0.218690538
0.511466956,0.465708117,0.21676486
0.513096696,0.463660676,0.214862378
0.514751809,0.46162904,0.212982876
0.516432309,0.459613184,0.211126139
0.518138211,0.457613084,0.209291953
0.519869531,0.455628716,0.207480107
0.52162629,0.453660053,0.205690389
0.523408509,0.45170707,0.203922592
0.525216213,0.44976974,0.202176506
0.527049428,0.447848037,0.200451926
0.528908182,0.445941933,0.198748648
0.530792505,0.444051402,0.197066469
0.53270243,0.442176415,0.195405188
0.53463799,0.440316945,0.193764604
0.536599223,0.438472963,0.19214452
0.538586167,0.436644442,0.190544741
0.540598861,0.434831353,0.18896507
0.542637347,0.433033666,0.187405316
0.544701669,0.431251354,0.185865287
0.546791873,0.429484387,0.184344793
0.548908006,0.427732736,0.182843648
0.551050117,0.425996373,0.181361666
0.553218256,0.424275267,0.179898661
0.555412476,0.422569391,0.178454453
0.557632832,0.420878714,0.177028859
0.559879377,0.419203208,0.175621703
0.56215217,0.417542843,0.174232806
0.56445127,0.415897592,0.172861994
0.566776735,0.414267424,0.171509094
0.569128629,0.412652311,0.170173933
